Ingmar Bergman
Martin Lutero
Fumihiko Maki
Sima Qian
Fra Dolcino
Sinibaldo Scorza
John McEnroe
Martina Hingis
Paul Erdős
Marija Šarapova
Sverre Fehn
Giovanni Migliara
Marco Paolini
Giulio Mazarino
Jurek Becker
Roger Federer
Gordiano III
Daniel Libeskind
Jacopo Barozzi da Vignola
Irving Berlin
Étienne-Louis Boullée
Friedrich Wöhler
Turgut Özal
Mindaugas
László Moholy-Nagy
Randy Rhoads
Margherita Buy
Papa Benedetto XI
Basilide
Tom Hanks
Ann Radcliffe
Francis Marion Crawford
Earl Warren
Peter Weir
Paavo Nurmi
Gustave Caillebotte
Billie Holiday
Peter Benenson
Denis Diderot
Federico I di Prussia
Amalasunta
David Bohm
Wystan Hugh Auden
Kenzō Tange
Livio Berruti
Izumi Shikibu
Cesare Lombroso
Joe Kubert
Mark Spitz
Albert Schweitzer
Kunio Maekawa
Spiridon Louis
Joseph John Thomson
Quentin Tarantino
Voltaire
Dave Weckl
Rocco di Montpellier
Filippo l'Arabo
Antonio Stradivari
Pierre de Coubertin
Henry David Thoreau
Papa Gregorio XV
Raimondo Montecuccoli
Vladimir I di Kiev
Peter Erskine
Marco Cornelio Frontone
Jaroslav I di Kiev
Domenico Trezzini
William Wallace
Michel de Montaigne
Fats Domino
Vladimir II di Kiev
Johnny Weissmuller
Papa Sisto IV
Ernesto Teodoro Moneta
Fu Sheng
Giovanni apostolo ed evangelista
Fidippide
Simone Martini
Felix Hausdorff
Fernandel
Gino Cervi
Jim Thorpe
Ho Chung Tao
Thomas Klestil
Aldo Nadi
James H. Clark
Jim Clark
Vint Cerf
Oriana Fallaci
Simón Bolívar
Carlos Kleiber
Calamity Jane
Alexandre Dumas (padre)
Alfredo Casella
Daniele Comboni
Paolo Rossi (calciatore)
Federico Faggin
Papa Innocenzo VIII
Francesco Cossiga
Mario Del Monaco
Ferruccio Busoni
Bob Beamon
Walter Benjamin
Antonio Vivaldi
Caterina II di Russia
Piero Piccioni
Jesse Owens
Carl Lewis
Benny Urquidez
Cagliostro
Lothar Matthäus
Aleksandr Nevskij
Michel Qissi
Erasmo da Rotterdam
Martin Heidegger
Alberto Sordi
Felice Giani
Jinmu
Tiziano Terzani
Enrico VI del Sacro Romano Impero
Fanny Blankers-Koen
Germanico Giulio Cesare
Andrea Camilleri
Emil Zátopek
Duke Kahanamoku
Dorando Pietri
Alberto Fortis
Konstantin Ėduardovič Ciolkovskij
Mary Leakey
Abebe Bikila
Laura Betti
Johann Gottlieb Goldberg
Steve Vai
Wolfgang Schmieder
Johnny Hayes
Patrick Ewing
James Connolly (atleta)
Adolphe Thiers
Jørn Utzon
Alberto Juantorena
Olga Korbut
Papa Paolo VI
Sebastian Coe
Luigi Tenco
Steve Ovett
Chick Corea
Serhij Bubka
George Duke
Teófilo Stevenson
Papa Urbano VII
Johann Sebastian Bach
Enrico I di Francia
Kubrat
Filippo II di Macedonia
Rabano Mauro
Simon Marius
Alfréd Hajós
Diocleziano
Karl Ziegler
Ba Jin
Carlo Rovelli
Michael Johnson
Papa Ponziano
Joseph Conrad
Papa Cornelio
Papa Lucio I
Herbert Marcuse
Papa Milziade
Ivan IV di Russia
Peter Gustav Lejeune Dirichlet
Caetano Veloso
Papa Liberio
Johann Wolfgang von Goethe
Papa Damaso I
Papa Anastasio I
Papa Innocenzo I
Papa Bonifacio I
Jury Chechi
