Sibilla Maddalena di Sassonia-Weissenfels (1673-1726),34885074,
Aurelian Smith Jr.,19338584,
James Gregory (astronomo),39475242,
Giacomo Facco,19879953,
Harald I di Norvegia,81714997,
Wataru Yoshizumi,69147386,
Jessica Sutta,71712292,
Enrico Musy,120584148,
Aage Neutzsky-Wulff,61295728,
Hugo von Hofmannsthal,103209512,
Roger Chartier,2468029,
Isaac Israeli ben Solomon,34580662,
Tokugawa Iemochi,61484419,
Joseph Arthur,39572794,
Monika Brodka,231930899,
Ehsan Yarshater,79043650,
Giuseppe De Luca (baritono),14958002,
Stone Gossard,228158818,
Harry Houdini,34465218,
George Nader,37777290,
Nicole Garcia,64117608,
Khun Sa,75471377,
Margaret Brown,60020391,
Denis Quilley,7575076,
Florence Bates,21145833,
Johann Ludwig Krebs,7574431,
Friedrich Ludwig Georg von Raumer,64809232,
Pernilla August,48908816,
Jean Biondi,78768304,
Girolamo Benzoni,85060913,
George Brown,36269641,
Filippo Prospero di Spagna,102745810,
Ed Koch,116774312,
Bruno Filippi,72477184,
Le Corbusier,56612471,
Emmy Rossum,5211577,
Iacopo Aconcio,46840898,
Anna Godbersen,11051300,
Joseph-Alfred Foulon,1818104,
Goran Karan,32329129,
Andrew Prine,88189798,
Catherine Grey,34348778,
Kevin McClory,22342303,
Tryphosa Bates-Batcheller,9002550,
Richard Scheufler,84231681,
Aurora Snow,87086148,
"Henry Howard, IV conte di Carlisle",20817795,
Sesto Rocchi,77123339,
Martin Sherman,17501,
Ruggero Maccari,49410719,
Gian Franco Reverberi,34665402,
Ramon Tikaram,87054234,
Keiko Toda,102668922,
Cazuza,15571094,
Edward Herrmann,51889913,
Charles Cotesworth Pinckney,53144520,
Agnello di Napoli,22938834,
Mirabai,42636649,
Pietro Ciriaci,84468469,
Kurt Weitzmann,34464342,
Ramaswamy Venkataraman,24708847,
Bobby Vinton,71579652,
Diana Wynyard,63566498,
Heinz Fischer,46800469,
Lorenzo Pucci (cardinale),37813554,
Wilhelm Bittrich,62426562,
Samuel Ruiz Garcia,23472453,
John Fowles,4929997,
Shirin Ebadi,119834922,
Carlo Rovelli,79394405,
Michel Constantin,9506814,
Patrick Moore (Greenpeace),101582985,
John Pierpont Morgan,57410770,
Walter von Reichenau,52595613,
Emily Watson,84322319,
Arturo Tabera Araoz,45730635,
Giulio Cesare Scaligero,61567549,
Frederick Delius,51874944,
Jacques Pierre Brissot,64002647,
Laura San Giacomo,117895990,
Marie Tussaud,96273854,
Gail Kobe,17433294,
Johann Gustav Droysen,100182524,
Danielle Darrieux,117444333,
Estienne Roger,,
Wayne Morris (attore statunitense),28536561,
Dione Crisostomo,100906841,
Carlo di Provenza,66858443,
Jimmy Bennett,78519198,
Shirley Strickland,60144684,
Elizabeth Barrett Browning,66464493,
Jean Dufresne,39501780,
Ignazio Donati,31841594,
Lionel Barrymore,66727566,
Nino Vingelli,225098819,
Steve Katz,85866146,
Rosa da Lima,30342289,
Donald Rumsfeld,41974687,
Gaetano Bedini,56603544,
David Manners,26657446,
Anton Wilhelm von L'Estocq,69695706,
Hasan II del Marocco,38237806,
Vittorio Mussolini,95308999,
E.G. Marshall,79538432,
Martyn Williams,86294458,
Maurice Prendergast,71516829,
Jacques Saly,34726972,
Robert A. M. Stern,79094876,
Tom Brady,48590636,
Gilbert Gress,18369586,
Felipe Pinglo Alva,6207887,
James Duval,85111989,
Vanessa da Mata,15089534,
Martha Fiennes,85095369,
Ugo Pirro,102394136,
Will Sasso,233520083,
Tito Quinzio Flaminino,54942559,
Diego Giuseppe da Cadice,12613197,
Coda Macchiata,13195942,
Ray Walston,121925495,
Steve Lukather,84965173,
Oliver Goldsmith,100167171,
Wei Jingsheng,59884255,
Jacob De Kempenaer,290906548,
Bart Freundlich,61753137,
Mohammed Daoud Oudeh,97605049,
Kevin Berry,6788921,
Giovanni Battista Nasalli Rocca di Corneliano,89604173,
Giovanni Comisso,54169350,
John W. Campbell,44296334,
Torlaco,88706832,
Taddeo di Bartolo,4787791,
Christian Boltanski,78769830,
Robert Florey,7480231,
